item_identifier,item_type,item_fat_content,item_weight,item_visibility
FDM58,Snack Foods,Regular,16.85,0.079690403
FDC45,Fruits and Vegetables,Low Fat,17.0,0.136008489
FDB33,Fruits and Vegetables,Low Fat,17.75,0.014609738
NCL54,Household,Low Fat,12.6,0.082921642
NCC07,Household,Low Fat,19.6,0.023999722
FDP60,Baking Goods,Low Fat,17.35,0.056235142
FDJ07,Meat,Low Fat,7.26,0.014505108
DRD12,Soft Drinks,Low Fat,6.96,0.077630199
DRN37,Soft Drinks,Low Fat,9.6,0.096842096
DRF37,Soft Drinks,Low Fat,17.25,0.084809658
FDX35,Breads,Regular,5.035,0.080072603
FDJ27,Meat,Regular,17.7,0.122123201
FDF10,Snack Foods,Regular,15.5,0.157246634
DRC13,Soft Drinks,Regular,8.26,0.06926435932603406
FDU03,Meat,Regular,18.7,0.092095924
NCK05,Health and Hygiene,Low Fat,20.1,0.077439606
NCJ18,Household,Low Fat,12.35,0.163910938
NCE30,Household,Low Fat,16.0,0.09911729
FDX15,Meat,Low Fat,17.2,0.156269303
FDT22,Snack Foods,Low Fat,10.395,0.11207602
DRL49,Soft Drinks,Low Fat,13.15,0.056418354
FDF29,Frozen Foods,Regular,15.1,0.019930418
FDT56,Fruits and Vegetables,Regular,16.0,0.115570552
FDN03,Meat,Regular,9.8,0.015087112
FDW15,Meat,Regular,15.35,0.055103174
FDU51,Meat,Regular,20.2,0.096495426
FDQ14,Dairy,Low Fat,9.27,0.103419257
DRE03,Dairy,Low Fat,19.6,0.040550868
FDG47,Starchy Foods,Low Fat,12.8,0.116527666
DRG03,Dairy,Low Fat,14.5,0.061934991
FDB52,Dairy,Low Fat,17.75,0.030410273
FDK40,Frozen Foods,Low Fat,7.035,0.06980413064720498
NCP41,Health and Hygiene,Low Fat,16.6,0.016197216
NCO43,Others,Low Fat,5.5,0.047059016
FDR46,Snack Foods,Low Fat,16.85,0.139301634
FDW58,Snack Foods,Low Fat,20.75,0.007546808
FDX36,Baking Goods,Regular,9.695,0.128176489
FDM01,Breakfast,Regular,7.895,0.094488485
FDX38,Dairy,Regular,10.5,0.0481669
FDH53,Frozen Foods,Regular,20.5,0.019183756
FDZ51,Meat,Regular,11.3,0.054507422
FDV57,Snack Foods,Regular,15.25,0.065841719
FDV59,Breads,Low Fat,13.35,0.07106850242735044
FDV35,Breads,Low Fat,19.5,0.128728258
FDK14,Canned,Low Fat,6.98,0.041273236
FDD57,Fruits and Vegetables,Low Fat,13.1,0.022291121
FDA10,Snack Foods,Low Fat,13.15,0.141129263
FDS31,Fruits and Vegetables,Regular,13.1,0.043978369
FDW39,Meat,Regular,12.35,0.036731658
FDY39,Meat,Regular,12.35,0.06535955496790123
NCP18,Household,Low Fat,12.15,0.028760013
FDY58,Snack Foods,Low Fat,11.65,0.040081193
NCB06,Health and Hygiene,Low Fat,17.6,0.082316506
FDB36,Baking Goods,Regular,5.465,0.07433118783250414
FDR47,Breads,Low Fat,17.85,0.07106850242735044
FDE10,Snack Foods,Regular,6.67,0.150554711
FDL22,Snack Foods,Low Fat,16.85,0.036390174
NCD06,Household,Low Fat,13.0,0.099729888
NCT54,Household,Low Fat,8.695,0.119721451
NCS54,Household,Low Fat,13.6,0.009984847
NCJ54,Household,Low Fat,13.15,0.059776237
FDJ20,Fruits and Vegetables,Regular,20.7,0.100330684
DRM11,Hard Drinks,Low Fat,6.57,0.066014596
FDK44,Fruits and Vegetables,Low Fat,16.6,0.122475364
FDP10,Snack Foods,Low Fat,19.0,0.128065918
FDG14,Canned,Regular,9.0,0.050786366
FDO34,Snack Foods,Low Fat,17.7,0.030108283
NCN41,Health and Hygiene,Low Fat,17.0,0.052165855
DRE27,Dairy,Low Fat,11.85,0.13267058
FDU40,Frozen Foods,Low Fat,20.85,0.062606583
NCL55,Others,Low Fat,12.15,0.065026434
FDJ55,Meat,Regular,12.8,0.023664054
NCN43,Others,Low Fat,12.15,0.011314423
FDZ60,Baking Goods,Low Fat,20.5,0.119547387
FDS23,Breads,Low Fat,4.635,0.141108156
FDR02,Dairy,Low Fat,16.7,0.022099982
FDF17,Frozen Foods,Low Fat,5.19,0.042687151
FDR43,Fruits and Vegetables,Low Fat,18.2,0.161740582
NCS41,Health and Hygiene,Low Fat,12.85,0.053527105
NCP05,Health and Hygiene,Low Fat,19.6,0.025325897
NCN14,Others,Low Fat,19.1,0.092060694
FDH22,Snack Foods,Low Fat,6.405,0.136512858
FDU22,Snack Foods,Low Fat,12.35,0.093441604
FDO57,Snack Foods,Low Fat,20.75,0.108879177
FDQ21,Snack Foods,Low Fat,21.25,0.01945343
DRG37,Soft Drinks,Low Fat,16.2,0.01940856
FDB11,Starchy Foods,Low Fat,16.0,0.060942632
FDL14,Canned,Regular,8.115,0.032208865
FDQ01,Canned,Regular,19.7,0.160951491
FDI05,Frozen Foods,Regular,8.35,0.127066966
FDJ10,Snack Foods,Regular,5.095,0.129705008
FDY32,Fruits and Vegetables,Low Fat,13.1,0.226284381
NCO30,Household,Low Fat,13.15,0.027532258
NCQ06,Household,Low Fat,13.15,0.073229342
NCV06,Household,Low Fat,13.15,0.116750407
NCZ54,Household,Low Fat,13.15,0.145951533
FDR33,Snack Foods,Low Fat,13.15,0.04690397
FDS57,Snack Foods,Low Fat,13.15,0.181114059
DRH01,Soft Drinks,Low Fat,11.8,0.171417316
FDL57,Snack Foods,Regular,13.15,0.117442838
FDT09,Snack Foods,Regular,13.15,0.021471456
FDY33,Snack Foods,Regular,13.15,0.170186628
FDX43,Fruits and Vegetables,Low Fat,5.655,0.085274988
FDS47,Breads,Low Fat,16.75,0.12888573
FDN01,Breakfast,Low Fat,8.895,0.08812645818691586
DRG51,Dairy,Low Fat,12.1,0.011539622
FDB05,Frozen Foods,Low Fat,5.155,0.083198341
FDD29,Frozen Foods,Low Fat,12.15,0.018410515
FDZ19,Fruits and Vegetables,Low Fat,6.425,0.093454899
FDY55,Fruits and Vegetables,Low Fat,16.75,0.07371877399126638
NCW41,Health and Hygiene,Low Fat,18.0,0.015450376
NCY17,Health and Hygiene,Low Fat,18.2,0.163096139
NCC19,Household,Low Fat,6.57,0.096880574
NCJ43,Household,Low Fat,6.635,0.027069402
NCO18,Household,Low Fat,13.15,0.024651269
FDW33,Snack Foods,Low Fat,9.395,0.099120588
DRC12,Soft Drinks,Low Fat,17.85,0.037826873
FDZ01,Canned,Regular,8.975,0.009058845
FDJ14,Canned,Regular,10.3,0.050070476
FDA08,Fruits and Vegetables,Regular,11.85,0.050085152
FDX55,Fruits and Vegetables,Low Fat,15.1,0.0552059
NCF55,Household,Low Fat,6.675,0.021710275
FDL36,Baking Goods,Low Fat,15.1,0.076229769
FDH27,Dairy,Low Fat,7.075,0.058465268
FDI52,Frozen Foods,Low Fat,18.7,0.104890428
FDD45,Fruits and Vegetables,Low Fat,8.615,0.116484721
NCA41,Health and Hygiene,Low Fat,16.75,0.032652796
NCX17,Health and Hygiene,Low Fat,21.25,0.113833823
NCV54,Household,Low Fat,11.1,0.033176087
FDO12,Baking Goods,Low Fat,15.75,0.055241242
FDB44,Fruits and Vegetables,Low Fat,6.655,0.07371877399126638
FDE57,Fruits and Vegetables,Low Fat,9.6,0.036490369
FDN20,Fruits and Vegetables,Low Fat,19.35,0.026329989
NCD19,Household,Low Fat,8.93,0.013253936
NCG55,Household,Low Fat,16.25,0.06496310372991851
NCO54,Household,Low Fat,19.5,0.014355033
FDE46,Snack Foods,Low Fat,18.6,0.015858893
FDR37,Breakfast,Regular,16.5,0.066383907
FDA25,Canned,Regular,16.5,0.068263916
FDU50,Dairy,Regular,5.75,0.075322658
FDG46,Snack Foods,Regular,8.63,0.032976399
FDM12,Baking Goods,Regular,16.7,0.070312473
FDW38,Dairy,Regular,5.325,0.139464425
FDZ14,Dairy,Regular,7.71,0.047857877
FDS19,Fruits and Vegetables,Regular,13.8,0.06457046
FDU35,Breads,Low Fat,6.44,0.07106850242735044
FDA13,Canned,Low Fat,15.85,0.078540095
FDT04,Frozen Foods,Low Fat,17.25,0.107021498
NCZ41,Health and Hygiene,Low Fat,19.85,0.064409056
NCD54,Household,Low Fat,21.1,0.029003459
FDQ09,Snack Foods,Low Fat,7.235,0.058121214
FDI48,Baking Goods,Regular,11.85,0.07433118783250414
FDZ49,Canned,Regular,11.0,0.13312044
FDJ02,Canned,Regular,17.2,0.025162022
FDN46,Snack Foods,Regular,7.21,0.14460413
FDI34,Snack Foods,Regular,10.65,0.085119855
FDG22,Snack Foods,Regular,17.6,0.041373331
FDB17,Frozen Foods,Low Fat,13.15,0.061381589
DRK35,Hard Drinks,Low Fat,8.365,0.120256303
NCP29,Health and Hygiene,Low Fat,8.42,0.187918654
NCZ29,Health and Hygiene,Low Fat,15.0,0.119461188
NCS30,Household,Low Fat,5.945,0.155706798
NCA42,Household,Low Fat,6.965,0.047784475
FDT58,Snack Foods,Low Fat,9.0,0.143870574
FDT12,Baking Goods,Regular,6.215,0.083056555
FDW12,Baking Goods,Regular,8.315,0.059540542
FDF26,Canned,Regular,6.825,0.078057026
FDV37,Canned,Regular,13.0,0.139785104
FDO22,Snack Foods,Regular,13.5,0.029893094
FDC41,Frozen Foods,Low Fat,15.6,0.116815953
FDS07,Fruits and Vegetables,Low Fat,12.35,0.099674817
DRH37,Soft Drinks,Low Fat,17.6,0.041581725
FDH02,Canned,Regular,7.27,0.02076385
FDC51,Dairy,Regular,10.895,0.009613854
FDT07,Fruits and Vegetables,Regular,5.82,0.077254736
FDJ44,Fruits and Vegetables,Regular,12.3,0.106238768
FDI10,Snack Foods,Regular,8.51,0.078339081
FDD11,Starchy Foods,Low Fat,12.85,0.07518351486466165
FDN12,Baking Goods,Low Fat,15.6,0.07433118783250414
FDQ52,Frozen Foods,Low Fat,17.0,0.119871307
FDJ08,Fruits and Vegetables,Low Fat,11.1,0.111122936
FDY19,Fruits and Vegetables,Low Fat,19.75,0.041533438
NCP17,Health and Hygiene,Low Fat,19.35,0.027827268
NCS38,Household,Low Fat,8.6,0.090558833
DRJ25,Soft Drinks,Low Fat,14.6,0.151180862
FDY26,Dairy,Regular,20.6,0.030634813
FDP11,Breads,Low Fat,10.6,0.068765925
FDR23,Breads,Low Fat,10.6,0.08139146
FDB27,Dairy,Low Fat,13.35,0.055121892
FDK28,Frozen Foods,Low Fat,12.85,0.065272284
FDK52,Frozen Foods,Low Fat,12.85,0.06980413064720498
FDU52,Frozen Foods,Low Fat,12.85,0.063462048
NCA06,Household,Low Fat,13.15,0.142589751
NCH54,Household,Low Fat,13.15,0.072317217
NCZ06,Household,Low Fat,13.15,0.09370568
NCL07,Others,Low Fat,14.5,0.0311868
FDF24,Baking Goods,Regular,11.65,0.02524761
FDR40,Frozen Foods,Regular,12.85,0.00799548
FDW16,Frozen Foods,Regular,12.85,0.041273391
FDY04,Frozen Foods,Regular,12.85,0.042270751
FDO31,Fruits and Vegetables,Regular,13.1,0.028842332
FDF34,Snack Foods,Regular,13.15,0.013951504
DRC36,Soft Drinks,Regular,11.8,0.044767032
FDQ23,Breads,Low Fat,10.6,0.024407061
NCS05,Health and Hygiene,Low Fat,12.15,0.020876485
FDB34,Snack Foods,Low Fat,13.15,0.026480954
FDB56,Fruits and Vegetables,Regular,8.75,0.07461309
FDG02,Canned,Low Fat,7.855,0.011307038
FDM15,Meat,Regular,11.8,0.057373797
FDO08,Fruits and Vegetables,Regular,13.1,0.09415375
FDI24,Baking Goods,Low Fat,11.65,0.078362484
FDS46,Snack Foods,Regular,13.15,0.082741482
FDG28,Frozen Foods,Regular,9.285,0.049559042
FDQ56,Fruits and Vegetables,Low Fat,6.59,0.10550944
FDX23,Baking Goods,Low Fat,6.445,0.029691762
FDR44,Fruits and Vegetables,Regular,6.11,0.102920886
FDU01,Canned,Regular,20.25,0.011995271
FDP59,Breads,Regular,20.85,0.056580228
FDZ15,Dairy,Low Fat,13.1,0.020870744
FDA36,Baking Goods,Low Fat,5.985,0.005677876
NCT41,Health and Hygiene,Low Fat,12.15,0.098031771
NCK54,Household,Low Fat,12.15,0.06496310372991851
FDE16,Frozen Foods,Low Fat,8.895,0.026384672
NCL19,Others,Low Fat,15.35,0.015673267
FDT32,Fruits and Vegetables,Regular,13.1,0.065316099
FDS10,Snack Foods,Low Fat,13.15,0.0350152
FDQ15,Meat,Regular,12.35,0.150341867
FDV01,Canned,Regular,12.15,0.07177910014772726
FDD04,Dairy,Low Fat,16.0,0.090153756
NCL31,Others,Low Fat,7.39,0.120467994
FDA33,Snack Foods,Low Fat,6.48,0.033952603
FDT59,Breads,Low Fat,13.65,0.07106850242735044
FDE26,Canned,Low Fat,9.3,0.089144149
FDC17,Frozen Foods,Low Fat,12.15,0.015484763
FDM44,Fruits and Vegetables,Low Fat,12.5,0.031097948
DRI11,Hard Drinks,Low Fat,8.26,0.034457776
DRL47,Hard Drinks,Low Fat,19.7,0.07054673574111675
NCB30,Household,Low Fat,14.6,0.025742955
NCI18,Household,Low Fat,18.35,0.014045832
NCP06,Household,Low Fat,20.7,0.039306822
NCO02,Others,Low Fat,11.15,0.06402977602515723
DRE37,Soft Drinks,Low Fat,13.5,0.094366079
FDJ12,Baking Goods,Regular,8.895,0.039101813
FDX11,Baking Goods,Regular,16.0,0.106918052
FDB37,Baking Goods,Regular,20.25,0.022976493
FDY15,Dairy,Regular,18.25,0.171093639
FDY20,Fruits and Vegetables,Regular,12.5,0.081879864
FDP44,Fruits and Vegetables,Regular,16.5,0.079837509
FDS32,Fruits and Vegetables,Regular,17.75,0.029700018
FDG09,Fruits and Vegetables,Regular,20.6,0.048010812
FDW51,Meat,Regular,6.155,0.094807042
FDK58,Snack Foods,Regular,11.35,0.045052492
FDA09,Snack Foods,Regular,13.35,0.149598628
DRM49,Soft Drinks,Regular,6.11,0.06926435932603406
FDD47,Starchy Foods,Regular,7.6,0.142632186
FDC03,Dairy,Regular,8.575,0.071958197
FDU31,Fruits and Vegetables,Regular,10.5,0.02502991
FDX24,Baking Goods,Low Fat,11.65,0.024387984
FDH08,Fruits and Vegetables,Low Fat,13.1,0.030516069
FDR08,Fruits and Vegetables,Low Fat,13.1,0.065872936
FDU07,Fruits and Vegetables,Low Fat,13.1,0.104784329
FDU32,Fruits and Vegetables,Low Fat,13.1,0.045465958
NCB19,Household,Low Fat,13.15,0.158096128
FDK33,Snack Foods,Low Fat,13.15,0.019671473
FDX09,Snack Foods,Low Fat,13.15,0.114243048
FDZ22,Snack Foods,Low Fat,13.15,0.079261744
FDY38,Dairy,Regular,13.35,0.208662546
FDP40,Frozen Foods,Regular,12.85,0.060154968
FDD51,Dairy,Low Fat,13.35,0.210021713
FDZ48,Baking Goods,Low Fat,17.75,0.075959623
FDT28,Frozen Foods,Low Fat,13.3,0.06356617
DRN11,Hard Drinks,Low Fat,7.85,0.162980276
NCI29,Health and Hygiene,Low Fat,8.6,0.032621545
NCP43,Others,Low Fat,17.75,0.03050705
FDP57,Snack Foods,Low Fat,17.5,0.07086596150265016
FDA22,Starchy Foods,Low Fat,7.435,0.084452363
FDW40,Frozen Foods,Regular,14.0,0.105145451
FDC33,Fruits and Vegetables,Regular,8.96,0.06893834
FDO39,Meat,Regular,6.985,0.137366883
FDI21,Snack Foods,Regular,5.59,0.056602818
FDW09,Snack Foods,Regular,13.65,0.025920816
FDN58,Snack Foods,Regular,13.8,0.056872392
FDT36,Baking Goods,Low Fat,12.3,0.111500259
FDS35,Breads,Low Fat,9.3,0.11144608
FDX59,Breads,Low Fat,10.195,0.051766042
FDF14,Canned,Low Fat,7.55,0.027224917
FDX26,Dairy,Low Fat,17.7,0.087986599
FDX16,Frozen Foods,Low Fat,17.85,0.06594351
FDA56,Fruits and Vegetables,Low Fat,9.21,0.008782561
FDP07,Fruits and Vegetables,Low Fat,18.2,0.090084098
NCD43,Household,Low Fat,8.85,0.016052446
NCB43,Household,Low Fat,20.2,0.100114941
FDK45,Seafood,Low Fat,11.65,0.033926852
FDK48,Baking Goods,Low Fat,7.445,0.037845086
FDZ38,Dairy,Low Fat,17.6,0.008046275
DRH39,Dairy,Low Fat,20.7,0.093214498
FDQ16,Frozen Foods,Low Fat,19.7,0.041974489
FDX20,Fruits and Vegetables,Low Fat,7.365,0.04280099
DRK23,Hard Drinks,Low Fat,8.395,0.072383777
DRO47,Hard Drinks,Low Fat,10.195,0.112859454
NCI17,Health and Hygiene,Low Fat,8.645,0.1442339
NCL29,Health and Hygiene,Low Fat,9.695,0.114583922
FDP39,Meat,Low Fat,12.65,0.069817659
FDN16,Frozen Foods,Regular,12.6,0.062827447
FDG56,Fruits and Vegetables,Regular,13.3,0.071597469
FDT55,Fruits and Vegetables,Regular,13.6,0.043743689
FDH20,Fruits and Vegetables,Regular,16.1,0.024999711
FDA47,Baking Goods,Regular,10.5,0.11733375
FDS11,Breads,Regular,7.05,0.05587277
FDF21,Fruits and Vegetables,Regular,10.3,0.059160135
FDM51,Meat,Regular,11.8,0.026072872
FDI58,Snack Foods,Regular,7.64,0.071104408
FDM57,Snack Foods,Regular,11.65,0.076278201
FDU02,Dairy,Low Fat,13.35,0.103091351
FDD32,Fruits and Vegetables,Regular,17.7,0.041163522
FDV23,Breads,Low Fat,11.0,0.105816753
FDX37,Canned,Low Fat,16.2,0.063017421
FDX40,Frozen Foods,Low Fat,12.85,0.06980413064720498
DRK11,Hard Drinks,Low Fat,8.21,0.010762387
DRL23,Hard Drinks,Low Fat,18.35,0.015301418
NCN05,Health and Hygiene,Low Fat,8.235,0.014456938
FDA21,Snack Foods,Low Fat,13.65,0.03595391
FDG59,Starchy Foods,Low Fat,15.85,0.043226398
FDL12,Baking Goods,Regular,15.85,0.121609722
FDU37,Canned,Regular,9.5,0.104488444
FDE14,Canned,Regular,13.65,0.031439206
FDH31,Meat,Regular,12.0,0.020407296
FDO15,Meat,Regular,16.75,0.008564925
FDG34,Snack Foods,Regular,11.5,0.037563325
FDH47,Starchy Foods,Regular,13.5,0.128791854
NCM05,Health and Hygiene,Low Fat,6.825,0.100171568
NCR53,Health and Hygiene,Low Fat,12.15,0.242768664
NCF06,Household,Low Fat,6.235,0.033807904
NCV42,Household,Low Fat,6.26,0.052593952
NCU54,Household,Low Fat,8.88,0.165073642
NCK18,Household,Low Fat,9.6,0.011211251
NCC30,Household,Low Fat,16.6,0.046161923
NCF42,Household,Low Fat,17.35,0.280164929
FDP15,Meat,Low Fat,15.2,0.06535955496790123
DRB25,Soft Drinks,Low Fat,12.3,0.116261335
FDM02,Canned,Regular,12.5,0.12341737
FDA01,Canned,Regular,15.0,0.091018048
FDI16,Frozen Foods,Regular,14.0,0.227260689
FDF08,Fruits and Vegetables,Regular,14.3,0.109144085
FDB58,Snack Foods,Regular,10.5,0.022590318
FDZ59,Baking Goods,Regular,6.63,0.174110803
FDK36,Baking Goods,Low Fat,7.09,0.00720931
FDS48,Baking Goods,Low Fat,15.15,0.027756137
FDC02,Canned,Low Fat,21.35,0.068765205
FDE29,Frozen Foods,Low Fat,8.905,0.143010016
FDE45,Fruits and Vegetables,Low Fat,12.1,0.040323731
FDT31,Fruits and Vegetables,Low Fat,19.75,0.012437935
DRL35,Hard Drinks,Low Fat,15.7,0.03067808
DRP35,Hard Drinks,Low Fat,18.85,0.09079168
NCU53,Health and Hygiene,Low Fat,5.485,0.042716235
NCF19,Household,Low Fat,13.0,0.035079516
NCG19,Household,Low Fat,20.25,0.14781046
FDT21,Snack Foods,Low Fat,7.42,0.020374875
FDT57,Snack Foods,Low Fat,15.2,0.019018943
FDP46,Snack Foods,Low Fat,15.35,0.074553522
DRF13,Soft Drinks,Low Fat,12.1,0.06926435932603406
DRG36,Soft Drinks,Low Fat,14.15,0.095298849
FDW52,Frozen Foods,Regular,14.0,0.037491314
FDY16,Frozen Foods,Regular,18.35,0.092150005
FDZ43,Fruits and Vegetables,Regular,11.0,0.057011062
FDE33,Fruits and Vegetables,Regular,19.35,0.049594299
FDU43,Fruits and Vegetables,Regular,19.35,0.07371877399126638
FDO25,Canned,Low Fat,6.3,0.127968205
FDY25,Canned,Low Fat,12.0,0.034112833
FDX02,Dairy,Low Fat,16.0,0.057292529
FDU55,Fruits and Vegetables,Low Fat,16.2,0.036057562
NCH42,Household,Low Fat,6.86,0.036686158
FDK22,Snack Foods,Low Fat,9.8,0.026192765
FDC58,Snack Foods,Low Fat,10.195,0.042113173
FDP58,Snack Foods,Low Fat,11.1,0.135692831
FDV48,Baking Goods,Regular,9.195,0.051827123
FDK60,Baking Goods,Regular,16.5,0.094246644
FDS59,Breads,Regular,14.8,0.04407225
FDN25,Breakfast,Regular,7.895,0.061424738
FDG38,Canned,Regular,8.975,0.07177910014772726
FDY28,Frozen Foods,Regular,7.47,0.15277077
FDT16,Frozen Foods,Regular,9.895,0.048860587
FDU28,Frozen Foods,Regular,19.2,0.094300933
FDZ33,Snack Foods,Low Fat,10.195,0.107834541
NCJ05,Health and Hygiene,Low Fat,12.15,0.045865089
FDS01,Canned,Low Fat,12.15,0.017659068
DRI39,Dairy,Low Fat,13.35,0.096592065
FDI28,Frozen Foods,Low Fat,12.85,0.026194237
FDL04,Frozen Foods,Low Fat,12.85,0.111381428
DRJ59,Hard Drinks,Low Fat,10.1,0.07054673574111675
NCO29,Health and Hygiene,Low Fat,12.15,0.032099989
NCE42,Household,Low Fat,13.15,0.01055095
NCI42,Household,Low Fat,13.15,0.01031535
NCQ54,Household,Low Fat,13.15,0.012481638
FDV45,Snack Foods,Low Fat,13.15,0.044829295
FDO49,Breakfast,Regular,10.695,0.032892112
FDE51,Dairy,Regular,13.35,0.096000183
FDR19,Fruits and Vegetables,Regular,13.1,0.158947217
FDR31,Fruits and Vegetables,Regular,13.1,0.048924811
FDA46,Snack Foods,Low Fat,13.6,0.117818348
FDF09,Fruits and Vegetables,Low Fat,13.1,0.012090074
DRL01,Soft Drinks,Regular,19.5,0.077608838
NCN55,Others,Low Fat,14.6,0.059582996
FDU44,Fruits and Vegetables,Regular,12.15,0.058414678
FDT39,Meat,Regular,6.26,0.009866049
DRQ35,Hard Drinks,Low Fat,10.1,0.042086652
FDU09,Snack Foods,Regular,7.71,0.06670068
FDH26,Canned,Regular,19.25,0.034699737
FDL51,Dairy,Regular,20.7,0.047684831
NCA54,Household,Low Fat,16.5,0.036715907
FDO28,Frozen Foods,Low Fat,5.765,0.072284689
FDQ37,Breakfast,Low Fat,20.75,0.149404057
DRG01,Soft Drinks,Low Fat,14.8,0.044869794
DRH13,Soft Drinks,Low Fat,8.575,0.023983258
FDY51,Meat,Low Fat,12.5,0.081465335
FDA34,Starchy Foods,Low Fat,13.175,0.014788594
FDG20,Fruits and Vegetables,Regular,15.5,0.210375806
FDR24,Baking Goods,Regular,17.35,0.062979148
NCI43,Household,Low Fat,19.85,0.025963795
FDF40,Dairy,Regular,20.25,0.022639471
FDS03,Meat,Low Fat,12.35,0.139419417
FDR58,Snack Foods,Low Fat,13.15,0.041718456
FDA15,Dairy,Low Fat,9.3,0.016054884
FDS49,Canned,Low Fat,9.0,0.079794329
FDZ35,Breads,Regular,9.6,0.022278477
DRM48,Soft Drinks,Low Fat,15.2,0.113125627
FDC09,Fruits and Vegetables,Regular,15.5,0.026409147
FDU36,Baking Goods,Low Fat,6.15,0.046342889
FDN13,Breakfast,Low Fat,18.6,0.152294691
FDD02,Canned,Low Fat,16.6,0.050369191
FDA32,Fruits and Vegetables,Low Fat,14.0,0.030140981
DRH23,Hard Drinks,Low Fat,14.65,0.07054673574111675
NCK17,Health and Hygiene,Low Fat,11.0,0.037953762
NCK53,Health and Hygiene,Low Fat,11.6,0.037639672
NCR41,Health and Hygiene,Low Fat,17.85,0.018052019
NCS17,Health and Hygiene,Low Fat,18.6,0.080626601
NCZ30,Household,Low Fat,6.59,0.026225693
NCY54,Household,Low Fat,8.43,0.177971115
NCM55,Others,Low Fat,15.6,0.066829875
NCI31,Others,Low Fat,20.0,0.0814536
FDX34,Snack Foods,Low Fat,6.195,0.072097449
FDM46,Snack Foods,Low Fat,7.365,0.160216552
FDD34,Snack Foods,Low Fat,7.945,0.015900971
FDM10,Snack Foods,Low Fat,18.25,0.076089711
DRD37,Soft Drinks,Low Fat,9.8,0.013863257
FDZ26,Dairy,Regular,11.6,0.144241314
FDD41,Frozen Foods,Regular,6.765,0.08739577
FDV16,Frozen Foods,Regular,7.75,0.083059634
FDG41,Frozen Foods,Regular,8.84,0.076681143
FDD44,Fruits and Vegetables,Regular,8.05,0.078522357
FDV44,Fruits and Vegetables,Regular,8.365,0.039906377
FDF57,Fruits and Vegetables,Regular,14.5,0.058918844
FDQ07,Fruits and Vegetables,Regular,15.1,0.087542757
FDZ31,Fruits and Vegetables,Regular,15.35,0.07371877399126638
FDM27,Meat,Regular,12.35,0.158715731
FDQ03,Meat,Regular,15.0,0.06535955496790123
DRY23,Soft Drinks,Regular,9.395,0.109265987
FDO36,Baking Goods,Low Fat,11.65,0.136417078
FDP26,Dairy,Low Fat,13.35,0.244338986
FDC28,Frozen Foods,Low Fat,12.85,0.06980413064720498
FDI20,Fruits and Vegetables,Low Fat,13.1,0.067520165
FDR07,Fruits and Vegetables,Low Fat,13.1,0.136119549
NCQ29,Health and Hygiene,Low Fat,12.15,0.182493512
NCX29,Health and Hygiene,Low Fat,12.15,0.156094569
NCU06,Household,Low Fat,13.15,0.13027716
FDL15,Meat,Low Fat,12.35,0.081651443
FDP34,Snack Foods,Low Fat,13.15,0.240268248
FDG08,Fruits and Vegetables,Regular,13.1,0.289522833
FDQ32,Fruits and Vegetables,Regular,13.1,0.081605462
FDX56,Fruits and Vegetables,Regular,13.1,0.129668578
FDX03,Meat,Regular,12.35,0.106971167
FDL09,Snack Foods,Regular,13.15,0.22417463
FDM22,Snack Foods,Regular,13.15,0.073462632
NCY30,Household,Low Fat,20.25,0.025953257
FDS60,Baking Goods,Low Fat,20.85,0.032448523
FDW47,Breads,Low Fat,15.0,0.046375227
FDU38,Dairy,Low Fat,10.8,0.082549896
FDU14,Dairy,Low Fat,17.75,0.034752647
FDR04,Frozen Foods,Low Fat,7.075,0.022566975
FDL08,Fruits and Vegetables,Low Fat,10.8,0.049719026
NCO41,Health and Hygiene,Low Fat,12.5,0.018848862
NCR06,Household,Low Fat,12.5,0.006765149
NCK19,Others,Low Fat,9.8,0.09046564
FDH33,Snack Foods,Low Fat,12.85,0.121725411
FDM34,Snack Foods,Low Fat,19.0,0.067447572
DRE01,Soft Drinks,Low Fat,10.1,0.167155198
DRF36,Soft Drinks,Low Fat,16.1,0.023577298
FDQ59,Breads,Regular,9.8,0.056386541
FDR59,Breads,Regular,14.5,0.063863551
FDN38,Canned,Regular,6.615,0.091971856
FDT01,Canned,Regular,13.65,0.184167712
FDY37,Canned,Regular,17.0,0.026568875
FDZ03,Dairy,Regular,13.65,0.078786674
FDQ28,Frozen Foods,Regular,14.0,0.060427062
FDR32,Fruits and Vegetables,Regular,6.78,0.07371877399126638
FDD56,Fruits and Vegetables,Regular,15.2,0.10377827
FDC08,Fruits and Vegetables,Regular,19.0,0.103449993
FDR57,Snack Foods,Regular,5.675,0.023496967
FDU45,Snack Foods,Regular,15.6,0.035506142
DRK12,Soft Drinks,Low Fat,9.5,0.042123243
FDA48,Baking Goods,Low Fat,12.1,0.115107028
FDE24,Baking Goods,Low Fat,14.85,0.093652168
FDW48,Baking Goods,Low Fat,18.0,0.008558144
FDJ50,Canned,Low Fat,8.645,0.021629781
FDO38,Canned,Low Fat,17.25,0.072986772
FDB28,Dairy,Low Fat,6.615,0.093574769
DRE15,Dairy,Low Fat,13.35,0.017821466
FDM28,Frozen Foods,Low Fat,15.7,0.045295529
DRM47,Hard Drinks,Low Fat,9.3,0.043874493
NCM29,Health and Hygiene,Low Fat,11.5,0.017678008
NCG54,Household,Low Fat,12.1,0.079968115
